Month;M3;M6;Y1;Y2;Y3;Y5;Y7;Y10
1982-01;12.92;13.9;14.32;14.57;14.64;14.65;14.67;14.59
1982-02;14.28;14.81;14.73;14.82;14.73;14.54;14.46;14.43
1982-03;13.31;13.83;13.95;14.19;14.13;13.98;13.93;13.86
1982-04;13.34;13.87;13.98;14.2;14.18;14;13.94;13.87
1982-05;12.71;13.13;13.34;13.78;13.77;13.75;13.74;13.62
1982-06;13.08;13.76;14.07;14.47;14.48;14.43;14.47;14.3
1982-07;11.86;12.8;13.24;13.8;14;14.07;14.07;13.95
1982-08;9;10.51;11.43;12.32;12.62;13;13.14;13.06
1982-09;8.19;9.83;10.85;11.78;12.03;12.25;12.36;12.34
1982-10;7.97;8.63;9.32;10.19;10.62;10.8;10.88;10.91
1982-11;8.35;8.8;9.16;9.8;9.98;10.38;10.53;10.55
1982-12;8.2;8.59;8.91;9.66;9.88;10.22;10.49;10.54
1983-01;8.12;8.33;8.62;9.33;9.64;10.03;10.36;10.46
1983-02;8.39;8.65;8.92;9.64;9.91;10.26;10.56;10.72
1983-03;8.66;8.86;9.04;9.66;9.84;10.08;10.31;10.51
1983-04;8.51;8.78;8.98;9.57;9.76;10.02;10.29;10.4
1983-05;8.5;8.7;8.9;9.49;9.66;10.03;10.3;10.38
1983-06;9.14;9.44;9.66;10.18;10.32;10.63;10.83;10.85
1983-07;9.45;9.85;10.2;10.69;10.9;11.21;11.35;11.38
1983-08;9.74;10.16;10.53;11.07;11.3;11.63;11.77;11.85
1983-09;9.36;9.73;10.16;10.79;11.07;11.43;11.61;11.65
1983-10;8.99;9.39;9.81;10.57;10.87;11.28;11.47;11.54
1983-11;9.11;9.48;9.94;10.66;10.96;11.41;11.61;11.69
1983-12;9.36;9.76;10.11;10.84;11.13;11.54;11.78;11.83
1984-01;9.26;9.56;9.9;10.64;10.93;11.37;11.58;11.67
1984-02;9.46;9.77;10.04;10.79;11.05;11.54;11.75;11.84
1984-03;9.89;10.27;10.59;11.31;11.59;12.02;12.25;12.32
1984-04;10.07;10.47;10.9;11.69;11.98;12.37;12.56;12.63
1984-05;10.22;11.02;11.66;12.47;12.75;13.17;13.34;13.41
1984-06;10.26;11.24;12.08;12.91;13.18;13.48;13.56;13.56
1984-07;10.53;11.27;12.03;12.88;13.08;13.27;13.35;13.36
1984-08;10.9;11.37;11.82;12.43;12.5;12.68;12.75;12.72
1984-09;10.8;11.19;11.58;12.2;12.34;12.53;12.6;12.52
1984-10;10.12;10.52;10.9;11.6;11.85;12.06;12.16;12.16
1984-11;8.92;9.34;9.82;10.65;10.9;11.33;11.49;11.57
1984-12;8.34;8.76;9.33;10.18;10.56;11.07;11.45;11.5
1985-01;8.02;8.45;9.02;9.93;10.43;10.93;11.27;11.38
1985-02;8.56;8.87;9.29;10.17;10.55;11.13;11.44;11.51
1985-03;8.83;9.45;9.86;10.71;11.05;11.52;11.82;11.86
1985-04;8.22;8.71;9.14;10.09;10.49;11.01;11.34;11.43
1985-05;7.73;8.07;8.46;9.39;9.75;10.34;10.72;10.85
1985-06;7.18;7.46;7.8;8.69;9.05;9.6;10.08;10.16
1985-07;7.32;7.57;7.86;8.77;9.18;9.7;10.16;10.31
1985-08;7.37;7.71;8.05;8.94;9.31;9.81;10.2;10.33
1985-09;7.33;7.64;8.07;8.98;9.37;9.81;10.24;10.37
1985-10;7.4;7.71;8.01;8.86;9.25;9.69;10.11;10.24
1985-11;7.48;7.68;7.88;8.58;8.88;9.28;9.62;9.78
1985-12;7.33;7.5;7.67;8.15;8.4;8.73;9.11;9.26
1986-01;7.3;7.53;7.73;8.14;8.41;8.68;9.03;9.19
1986-02;7.29;7.47;7.61;7.97;8.1;8.34;8.58;8.7
1986-03;6.76;6.89;7.03;7.21;7.3;7.46;7.67;7.78
1986-04;6.24;6.36;6.44;6.7;6.86;7.05;7.16;7.3
1986-05;6.33;6.47;6.65;7.07;7.27;7.52;7.65;7.71
1986-06;6.4;6.56;6.73;7.18;7.41;7.64;7.75;7.8
1986-07;6;6.12;6.27;6.67;6.86;7.06;7.22;7.3
1986-08;5.69;5.79;5.93;6.33;6.49;6.8;7.01;7.17
1986-09;5.35;5.57;5.77;6.35;6.62;6.92;7.28;7.45
1986-10;5.32;5.48;5.72;6.28;6.56;6.83;7.24;7.43
1986-11;5.5;5.64;5.8;6.28;6.46;6.76;7.08;7.25
1986-12;5.68;5.78;5.87;6.27;6.43;6.67;6.97;7.11
1987-01;5.58;5.67;5.78;6.23;6.41;6.64;6.92;7.08
1987-02;5.75;5.83;5.96;6.4;6.56;6.79;7.06;7.25
1987-03;5.77;5.86;6.03;6.42;6.58;6.79;7.06;7.25
1987-04;5.82;6.19;6.5;7.02;7.32;7.57;7.83;8.02
1987-05;5.85;6.35;7;7.76;8.02;8.26;8.47;8.61
1987-06;5.85;6.28;6.8;7.57;7.82;8.02;8.27;8.4
1987-07;5.88;6.05;6.68;7.44;7.74;8.01;8.27;8.45
1987-08;6.23;6.46;7.03;7.75;8.03;8.32;8.59;8.76
1987-09;6.62;6.99;7.67;8.34;8.67;8.94;9.26;9.42
1987-10;6.35;7.04;7.59;8.4;8.75;9.08;9.37;9.52
1987-11;5.89;6.5;6.96;7.69;7.99;8.35;8.69;8.86
1987-12;5.96;6.68;7.17;7.86;8.13;8.45;8.82;8.99
1988-01;6;6.56;6.99;7.63;7.87;8.18;8.48;8.67
1988-02;5.84;6.21;6.64;7.18;7.38;7.71;8.02;8.21
1988-03;5.87;6.18;6.71;7.27;7.5;7.83;8.19;8.37
1988-04;6.08;6.5;7.01;7.59;7.83;8.19;8.52;8.72
1988-05;6.45;6.89;7.4;8;8.24;8.58;8.89;9.09
1988-06;6.66;7.04;7.49;8.03;8.22;8.49;8.78;8.92
1988-07;6.95;7.35;7.75;8.28;8.44;8.66;8.91;9.06
1988-08;7.3;7.79;8.17;8.63;8.77;8.94;9.13;9.26
1988-09;7.48;7.82;8.09;8.46;8.57;8.69;8.87;8.98
1988-10;7.6;7.9;8.11;8.35;8.43;8.51;8.69;8.8
1988-11;8.03;8.3;8.48;8.67;8.72;8.79;8.89;8.96
1988-12;8.35;8.7;8.99;9.09;9.11;9.09;9.13;9.11
1989-01;8.56;8.85;9.05;9.18;9.2;9.15;9.14;9.09
1989-02;8.84;9.05;9.25;9.37;9.32;9.27;9.23;9.17
1989-03;9.14;9.39;9.57;9.68;9.61;9.51;9.43;9.36
1989-04;8.96;9.17;9.36;9.45;9.4;9.3;9.24;9.18
1989-05;8.74;8.91;8.98;9.02;8.98;8.91;8.88;8.86
1989-06;8.43;8.38;8.44;8.41;8.37;8.29;8.31;8.28
1989-07;8.15;8.01;7.89;7.82;7.83;7.83;7.94;8.02
1989-08;8.17;8.17;8.18;8.14;8.13;8.09;8.11;8.11
1989-09;8.01;8.16;8.22;8.28;8.26;8.17;8.23;8.19
1989-10;7.9;8.03;7.99;7.98;8.02;7.97;8.03;8.01
1989-11;7.94;7.89;7.77;7.8;7.8;7.81;7.86;7.87
1989-12;7.88;7.81;7.72;7.78;7.77;7.75;7.85;7.84
1990-01;7.9;7.96;7.92;8.09;8.13;8.12;8.2;8.21
1990-02;8;8.12;8.11;8.37;8.39;8.42;8.48;8.47
1990-03;8.17;8.28;8.35;8.63;8.63;8.6;8.65;8.59
1990-04;8.04;8.27;8.4;8.72;8.78;8.77;8.81;8.79
1990-05;8.01;8.19;8.32;8.64;8.69;8.74;8.78;8.76
1990-06;7.99;8.05;8.1;8.35;8.4;8.43;8.52;8.48
1990-07;7.87;7.92;7.94;8.16;8.26;8.33;8.46;8.47
1990-08;7.69;7.77;7.78;8.06;8.22;8.44;8.64;8.75
1990-09;7.6;7.7;7.76;8.08;8.27;8.51;8.79;8.89
1990-10;7.4;7.53;7.55;7.88;8.07;8.33;8.59;8.72
1990-11;7.29;7.39;7.31;7.6;7.74;8.02;8.28;8.39
1990-12;6.95;7.03;7.05;7.31;7.47;7.73;8;8.08
1991-01;6.41;6.58;6.64;7.13;7.38;7.7;7.97;8.09
1991-02;6.12;6.19;6.27;6.87;7.08;7.47;7.73;7.85
1991-03;6.09;6.2;6.4;7.1;7.35;7.77;8;8.11
1991-04;5.83;5.98;6.24;6.95;7.23;7.7;7.92;8.04
1991-05;5.63;5.87;6.13;6.78;7.12;7.7;7.94;8.07
1991-06;5.75;6.02;6.36;6.96;7.39;7.94;8.17;8.28
1991-07;5.75;5.97;6.31;6.92;7.38;7.91;8.15;8.27
1991-08;5.5;5.63;5.78;6.43;6.8;7.43;7.74;7.9
1991-09;5.37;5.48;5.57;6.18;6.5;7.14;7.48;7.65
1991-10;5.14;5.26;5.33;5.91;6.23;6.87;7.25;7.53
1991-11;4.69;4.8;4.89;5.56;5.9;6.62;7.06;7.42
1991-12;4.18;4.26;4.38;5.03;5.39;6.19;6.69;7.09
1992-01;3.91;4.01;4.15;4.96;5.4;6.24;6.7;7.03
1992-02;3.95;4.08;4.29;5.21;5.72;6.58;6.96;7.34
1992-03;4.14;4.33;4.63;5.69;6.18;6.95;7.26;7.54
1992-04;3.84;4;4.3;5.34;5.93;6.78;7.15;7.48
1992-05;3.72;3.88;4.19;5.23;5.81;6.69;7.06;7.39
1992-06;3.75;3.9;4.17;5.05;5.6;6.48;6.9;7.26
1992-07;3.28;3.38;3.6;4.36;4.91;5.84;6.36;6.84
1992-08;3.2;3.31;3.47;4.19;4.72;5.6;6.12;6.59
1992-09;2.97;3.04;3.18;3.89;4.42;5.38;5.96;6.42
1992-10;2.93;3.13;3.3;4.08;4.64;5.6;6.15;6.59
1992-11;3.21;3.44;3.68;4.58;5.14;6.04;6.49;6.87
1992-12;3.29;3.47;3.71;4.67;5.21;6.08;6.46;6.77
1993-01;3.07;3.24;3.5;4.39;4.93;5.83;6.26;6.6
1993-02;2.99;3.16;3.39;4.1;4.58;5.43;5.87;6.26
1993-03;3.01;3.15;3.33;3.95;4.4;5.19;5.66;5.98
1993-04;2.93;3.06;3.24;3.84;4.3;5.13;5.59;5.97
1993-05;3.03;3.17;3.36;3.98;4.4;5.2;5.66;6.04
1993-06;3.14;3.29;3.54;4.16;4.53;5.22;5.61;5.96
1993-07;3.11;3.26;3.47;4.07;4.43;5.09;5.48;5.81
1993-08;3.09;3.24;3.44;4;4.36;5.03;5.35;5.68
1993-09;3.01;3.15;3.36;3.85;4.17;4.73;5.08;5.36
1993-10;3.09;3.22;3.39;3.87;4.18;4.71;5.05;5.33
1993-11;3.18;3.36;3.58;4.16;4.5;5.06;5.45;5.72
1993-12;3.13;3.34;3.61;4.21;4.54;5.15;5.48;5.77
1994-01;3.04;3.25;3.54;4.14;4.48;5.09;5.43;5.75
1994-02;3.33;3.53;3.87;4.47;4.83;5.4;5.72;5.97
1994-03;3.59;3.91;4.32;5;5.4;5.94;6.28;6.48
1994-04;3.78;4.25;4.82;5.55;5.99;6.52;6.8;6.97
1994-05;4.27;4.79;5.31;5.97;6.34;6.78;7.01;7.18
1994-06;4.25;4.72;5.27;5.93;6.27;6.7;6.91;7.1
1994-07;4.46;4.95;5.48;6.13;6.48;6.91;7.12;7.3
1994-08;4.61;5.08;5.56;6.18;6.5;6.88;7.06;7.24
1994-09;4.75;5.24;5.76;6.39;6.69;7.08;7.28;7.46
1994-10;5.1;5.62;6.11;6.73;7.04;7.4;7.58;7.74
1994-11;5.45;5.98;6.54;7.15;7.44;7.72;7.83;7.96
1994-12;5.76;6.5;7.14;7.59;7.71;7.78;7.8;7.81
1995-01;5.9;6.51;7.05;7.51;7.66;7.76;7.79;7.78
1995-02;5.94;6.31;6.7;7.11;7.25;7.37;7.44;7.47
1995-03;5.91;6.17;6.43;6.78;6.89;7.05;7.14;7.2
1995-04;5.84;6.05;6.27;6.57;6.68;6.86;6.95;7.06
1995-05;5.85;5.93;6;6.17;6.27;6.41;6.5;6.63
1995-06;5.64;5.66;5.64;5.72;5.8;5.93;6.05;6.17
1995-07;5.59;5.62;5.59;5.78;5.89;6.01;6.2;6.28
1995-08;5.57;5.65;5.75;5.98;6.1;6.24;6.41;6.49
1995-09;5.43;5.54;5.62;5.81;5.89;6;6.13;6.2
1995-10;5.44;5.56;5.59;5.7;5.77;5.86;5.97;6.04
1995-11;5.52;5.51;5.43;5.48;5.57;5.69;5.83;5.93
1995-12;5.29;5.35;5.31;5.32;5.39;5.51;5.63;5.71
1996-01;5.15;5.13;5.09;5.11;5.2;5.36;5.54;5.65
1996-02;4.96;4.97;4.94;5.03;5.14;5.38;5.64;5.81
1996-03;5.1;5.16;5.34;5.66;5.79;5.97;6.19;6.27
1996-04;5.09;5.27;5.54;5.96;6.11;6.3;6.48;6.51
1996-05;5.15;5.33;5.64;6.1;6.27;6.48;6.66;6.74
1996-06;5.23;5.46;5.81;6.3;6.49;6.69;6.83;6.91
1996-07;5.3;5.52;5.85;6.27;6.45;6.64;6.76;6.87
1996-08;5.19;5.34;5.67;6.03;6.21;6.39;6.52;6.64
1996-09;5.24;5.45;5.83;6.23;6.41;6.6;6.73;6.83
1996-10;5.12;5.32;5.55;5.91;6.08;6.27;6.42;6.53
1996-11;5.17;5.27;5.42;5.7;5.82;5.97;6.1;6.2
1996-12;5.04;5.24;5.47;5.78;5.91;6.07;6.2;6.3
1997-01;5.17;5.31;5.61;6.01;6.16;6.33;6.47;6.58
1997-02;5.14;5.27;5.53;5.9;6.03;6.2;6.32;6.42
1997-03;5.28;5.48;5.8;6.22;6.38;6.54;6.65;6.69
1997-04;5.3;5.6;5.99;6.45;6.61;6.76;6.86;6.89
1997-05;5.2;5.53;5.87;6.28;6.42;6.57;6.66;6.71
1997-06;5.07;5.34;5.69;6.09;6.24;6.38;6.46;6.49
1997-07;5.19;5.33;5.54;5.89;6;6.12;6.2;6.22
1997-08;5.28;5.4;5.56;5.94;6.06;6.16;6.29;6.3
1997-09;5.08;5.3;5.52;5.88;5.98;6.11;6.2;6.21
1997-10;5.11;5.3;5.46;5.77;5.84;5.93;6.05;6.03
1997-11;5.28;5.38;5.46;5.71;5.76;5.8;5.9;5.88
1997-12;5.3;5.45;5.53;5.72;5.74;5.77;5.83;5.81
1998-01;5.18;5.23;5.24;5.36;5.38;5.42;5.53;5.54
1998-02;5.23;5.27;5.31;5.42;5.43;5.49;5.6;5.57
1998-03;5.16;5.25;5.39;5.56;5.57;5.61;5.71;5.65
1998-04;5.08;5.26;5.38;5.56;5.58;5.61;5.7;5.64
1998-05;5.14;5.36;5.44;5.59;5.61;5.63;5.72;5.65
1998-06;5.12;5.32;5.41;5.52;5.52;5.52;5.56;5.5
1998-07;5.09;5.23;5.36;5.46;5.47;5.46;5.52;5.46
1998-08;5.04;5.15;5.21;5.27;5.24;5.27;5.36;5.34
1998-09;4.74;4.81;4.71;4.67;4.62;4.62;4.76;4.81
1998-10;4.07;4.2;4.12;4.09;4.18;4.18;4.46;4.53
1998-11;4.53;4.59;4.53;4.54;4.57;4.54;4.78;4.83
1998-12;4.5;4.57;4.52;4.51;4.48;4.45;4.65;4.65
1999-01;4.45;4.49;4.51;4.62;4.61;4.6;4.8;4.72
1999-02;4.56;4.61;4.7;4.88;4.9;4.91;5.1;5
1999-03;4.57;4.65;4.78;5.05;5.11;5.14;5.36;5.23
1999-04;4.41;4.54;4.69;4.98;5.03;5.08;5.28;5.18
1999-05;4.63;4.75;4.85;5.25;5.33;5.44;5.64;5.54
1999-06;4.72;5.03;5.1;5.62;5.7;5.81;6.05;5.9
1999-07;4.69;4.75;5.03;5.55;5.62;5.68;5.94;5.79
1999-08;4.87;5.09;5.2;5.68;5.77;5.84;6.15;5.94
1999-09;4.82;5.08;5.25;5.66;5.75;5.8;6.12;5.92
1999-10;5.02;5.2;5.43;5.86;5.94;6.03;6.33;6.11
1999-11;5.23;5.43;5.55;5.86;5.92;5.97;6.17;6.03
1999-12;5.36;5.68;5.84;6.1;6.14;6.19;6.38;6.28
2000-01;5.5;5.76;6.12;6.44;6.49;6.58;6.7;6.66
2000-02;5.73;6;6.22;6.61;6.65;6.68;6.72;6.52
2000-03;5.86;6.11;6.22;6.53;6.53;6.5;6.51;6.26
2000-04;5.82;6.07;6.15;6.4;6.36;6.26;6.27;5.99
2000-05;5.99;6.39;6.33;6.81;6.77;6.69;6.69;6.44
2000-06;5.86;6.24;6.17;6.48;6.43;6.3;6.33;6.1
2000-07;6.14;6.27;6.08;6.34;6.28;6.18;6.22;6.05
2000-08;6.28;6.35;6.18;6.23;6.17;6.06;6.05;5.83
2000-09;6.18;6.25;6.13;6.08;6.02;5.93;5.98;5.8
2000-10;6.29;6.32;6.01;5.91;5.85;5.78;5.84;5.74
2000-11;6.36;6.34;6.09;5.88;5.79;5.7;5.78;5.72
2000-12;5.94;5.92;5.6;5.35;5.26;5.17;5.28;5.24
2001-01;5.29;5.15;4.81;4.76;4.77;4.86;5.13;5.16
2001-02;5.01;4.89;4.68;4.66;4.71;4.89;5.1;5.1
2001-03;4.54;4.44;4.3;4.34;4.43;4.64;4.88;4.89
2001-04;3.97;3.99;3.98;4.23;4.42;4.76;5.03;5.14
2001-05;3.7;3.74;3.78;4.26;4.51;4.93;5.24;5.39
2001-06;3.57;3.56;3.58;4.08;4.35;4.81;5.14;5.28
2001-07;3.59;3.56;3.62;4.04;4.31;4.76;5.06;5.24
2001-08;3.44;3.39;3.47;3.76;4.04;4.57;4.84;4.97
2001-09;2.69;2.71;2.82;3.12;3.45;4.12;4.51;4.73
2001-10;2.2;2.17;2.33;2.73;3.14;3.91;4.31;4.57
2001-11;1.91;1.92;2.18;2.78;3.22;3.97;4.42;4.65
